real_joint_name,mujoco_joint_name,replay_transform,mapping_status,model_lower,model_upper,real_reference_min,real_reference_max,reference_within_model_range,evidence
head_pitch_joint,,NOT_MAPPED,MODEL_DOF_MISMATCH,,,0.0,0.0,False,real joint exists; current X2 MuJoCo fixes head pitch
head_yaw_joint,head_yaw_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.349066,0.349066,4.792213439941406e-05,0.0001437664031982,True,exact live JointState.name match; sign/zero not physically verified
left_ankle_pitch_joint,left_ankle_pitch_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.802851,0.453786,-0.2727570533752441,-0.2265462875366211,True,exact live JointState.name match; sign/zero not physically verified
left_ankle_roll_joint,left_ankle_roll_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.261799,0.261799,-0.0326924324035644,-0.0286660194396972,True,exact live JointState.name match; sign/zero not physically verified
left_elbow_joint,left_elbow_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-2.356194,0.0,-1.441633701324463,-1.1739583015441897,True,exact live JointState.name match; sign/zero not physically verified
left_hip_pitch_joint,left_hip_pitch_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-2.556908,2.556908,-0.3310475349426269,-0.2953829765319824,True,exact live JointState.name match; sign/zero not physically verified
left_hip_roll_joint,left_hip_roll_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.235619,2.905973,0.0110249519348144,0.0144767761230468,True,exact live JointState.name match; sign/zero not physically verified
left_hip_yaw_joint,left_hip_yaw_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-1.684242,3.429572,-0.0004792213439941,-0.0002875328063964,True,exact live JointState.name match; sign/zero not physically verified
left_knee_joint,left_knee_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.0,2.408554,0.4984407424926758,0.5059185028076172,True,exact live JointState.name match; sign/zero not physically verified
left_shoulder_pitch_joint,left_shoulder_pitch_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-3.080506,2.033309,-9.584426879882812e-05,0.3948229807765281,True,exact live JointState.name match; sign/zero not physically verified
left_shoulder_roll_joint,left_shoulder_roll_joint,q_mujoco=q_real (candidate only),IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.061087,3.0456,-0.0139012336730957,2.19143988051019,True,exact live JointState.name match; sign/zero not physically verified
