joint_name,input_mode,rmse,mae,peak_abs_error,delta_rmse,phase_lag_candidate_s,shape_correlation,real_excursion,sim_excursion,real_peak_abs_velocity,sim_peak_abs_velocity,peak_velocity_difference,minimum_limit_margin_rad,target_clip_samples,limit_contact_samples
head_yaw_joint,FIXED_AT_REAL_INITIAL,6.35808874274826e-05,4.467920453711463e-05,9.834963328549727e-05,5.10167238694887e-05,0.8,0.09913048251250137,9.584426879878595e-05,5.342627454485061e-06,0.011986609819852,1.839568466942974e-05,-0.01196821413518257,0.3490152406026328,0,0
left_ankle_pitch_joint,FIXED_AT_REAL_INITIAL,0.05062406783890448,0.04296856409951039,0.10162424583917373,0.027501289752768148,1.0,0.23436663865779842,0.046210765838597484,0.0731328119321738,0.1523559855483129,0.1555769346251633,0.0032209490768504156,0.4640968869379339,0,0
left_ankle_roll_joint,FIXED_AT_REAL_INITIAL,0.013860032912535753,0.013412892660914316,0.020441227249909398,0.004645670273540471,1.0,0.24521640291521568,0.004026412963867198,0.010017667192914501,0.042734146118164,0.0131048862486419,-0.029629259869522098,0.2395301276534304,0,0
left_elbow_joint,MEASURED_REAL_TRAJECTORY,0.0370416472635399,0.02246452335714393,0.09870562747605338,0.03704164734663087,0.22,0.9979453709185252,0.2676753997802732,0.2665074962381002,0.700671735120499,0.4042169333857764,-0.29645480173472255,0.9157562790980054,0,0
left_hip_pitch_joint,FIXED_AT_REAL_INITIAL,0.036061690905189785,0.031012588736736856,0.07033873438117627,0.021396124355287895,1.0,0.29440480254321133,0.03566455841064298,0.048237856054406,0.1526260375973334,0.105487018296438,-0.047139019300895396,2.19099923232941,0,0
left_hip_roll_joint,FIXED_AT_REAL_INITIAL,0.006897674689750059,0.0066578075024416985,0.0094887162017022,0.004640001820274282,-1.0,0.36846469355718625,0.0034518241882247006,0.0038259735857935004,0.0272815549022028,0.0079505978422366,-0.0193309570599662,0.2528670991001432,0,0
left_hip_yaw_joint,FIXED_AT_REAL_INITIAL,0.0026209066819795957,0.002588382810235265,0.0032857991899618,0.0004749915702461805,0.94,0.3613869487299562,0.0001916885375977,0.0016880812524705997,0.0061054229736328,0.0031395987990685,-0.0029658241745643002,1.680476979466044,0,0
left_knee_joint,FIXED_AT_REAL_INITIAL,0.11799586049189595,0.11547306985093145,0.16212037858342443,0.024781363714179175,0.56,0.3786608340664989,0.007477760314941406,0.08885580396140902,0.0630237919474664,0.1843604469766511,0.1213366550291847,0.5787997003544516,0,0
left_shoulder_pitch_joint,MEASURED_REAL_TRAJECTORY,0.052959376161035306,0.03411630005680301,0.11273831908499157,0.05295937640726404,0.24,0.9989200873205314,0.39490237661906163,0.3922660335828157,0.7480726352293776,0.4511285126288763,-0.2969441226005013,1.639369467819418,0,0
left_shoulder_roll_joint,MEASURED_REAL_TRAJECTORY,0.30020389569064565,0.1983281589593039,0.6383870467241473,0.30020389691819155,0.24,0.9987401667307086,2.2053285321713387,2.1972220066123374,2.9343790279928936,2.4681613688793185,-0.46621765911357516,0.0485374086165831,0,0
