experiment,joint_name,segment,split,rmse_rad,mae_rad,lag_s,shape_correlation,peak_error_rad,overshoot_rad,peak_velocity_error_rad_s,settling_time_s,settling_error_rad,maximum_ctrl_saturation_fraction
fixed_baseline,left_shoulder_roll_joint,standing_pre_roll,validation,1.1496544266111032e-10,1.0573594000610436e-10,,,2.0391110154560632e-10,2.0391110154560632e-10,0.006105423080295137,,,0.034801575060578
fixed_baseline,left_shoulder_roll_joint,motion_onset,fit,0.38938687359290086,0.32683209991272116,0.24,0.9993691631057049,0.6404753468721969,0.0023889442636699006,1.3328488157560414,,,0.1891695746174834
fixed_baseline,left_shoulder_roll_joint,peak_gesture,validation,0.27722126346698023,0.16012191726787564,0.16,0.9996048631724722,0.6238122831986799,0.0,1.3276834792644523,,,0.153175781286242
fixed_baseline,left_shoulder_roll_joint,return_phase,fit,0.22974435549252356,0.12848212753605512,0.94,0.9981459467549811,0.6224972355932692,0.6224972355932692,1.1533089093486002,,,0.1676707617860513
fixed_baseline,left_shoulder_roll_joint,post_roll,validation,0.0008897941561284119,0.0008321667410768126,,,0.0014944252922705,0.0014944252922705,0.0058916363682779,,,0.033553771339735
fixed_baseline,left_shoulder_roll_joint,full_motion,combined,0.30147843804105645,0.19912554391579662,0.24,0.9987312973273034,0.6404753468721969,0.0,1.3328488157560414,0.010203230000776387,0.0008321667410768126,0.1891695746174834
fixed_baseline,right_shoulder_roll_joint,standing_pre_roll,validation,3.768399523284313e-10,3.4693551564587976e-10,,,6.632978003656698e-10,6.632978003656698e-10,0.006105422893041941,,,0.0354336705348807
fixed_baseline,right_shoulder_roll_joint,motion_onset,fit,0.3887749105591273,0.32652464428558464,0.24,0.9993733030534276,0.6393722672209279,0.0022841254968986,1.3520645657897636,,,0.1891889875171216
fixed_baseline,right_shoulder_roll_joint,peak_gesture,validation,0.2766278950025142,0.1593062126552327,0.16,0.999590802863623,0.6251996049790741,0.0,1.3601562250274066,,,0.1538335066740556
fixed_baseline,right_shoulder_roll_joint,return_phase,fit,0.2297098305243317,0.12888414679407428,0.94,0.99857859580637,0.622059215804679,0.622059215804679,1.117349842303279,,,0.1676267638946
fixed_baseline,right_shoulder_roll_joint,post_roll,validation,0.0008932376021341033,0.0008354737719182392,,,0.0014996901278861007,0.0014996901278861007,0.006892683396319201,,,0.0341044923118831
fixed_baseline,right_shoulder_roll_joint,full_motion,combined,0.301041034713874,0.19888848180125826,0.24,0.9987350289108219,0.6393722672209279,0.0,1.3601562250274066,0.010203230000776387,0.0008354737719182392,0.1891889875171216
fixed_baseline,left_wrist_yaw_joint,standing_pre_roll,validation,1.4542783679368284e-14,7.29928270604141e-15,,,5.490052856771399e-14,5.490052856771399e-14,0.006105422974034745,,,0.0003424226503747
fixed_baseline,left_wrist_yaw_joint,motion_onset,fit,0.43630285358126913,0.3816769714806071,0.34,0.998576091633438,0.6716209093220662,0.00019292991562189915,1.2709137092398477,,,0.0182918350420134
