experiment,parent,changed_category,classification,free_base,interpolation,reference_rate_hz,controller_rate_hz,timestep_s,shoulder_gain_scale,wrist_gain_scale,balance_gain_scale,standing_reference_scale,velocity_limit_rad_s,mean_arm_rmse_rad,mean_arm_mae_rad,median_arm_lag_s,mean_abs_equilibrium_error_rad,mean_balance_relative_rmse_rad,stable_no_fall,minimum_limit_margin_rad,maximum_ctrl_saturation_fraction,persistent_saturation_sample_fraction,self_collision_samples,nonfoot_ground_contact_samples,both_feet_contact_fraction,warning
fixed_baseline,none,none,DIAGNOSTIC_ONLY,False,linear,50.0,1000.0,0.001,1.0,1.0,1.0,0.0,,0.2705456219573519,0.18957594220352456,0.31,5.247924018993543e-05,,True,0.047956517928664434,0.27342913288959947,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
fixed_interp_zoh,fixed_baseline,reference interpolation,DIAGNOSTIC_ONLY,False,zoh,50.0,1000.0,0.001,1.0,1.0,1.0,0.0,,0.27815390686872676,0.19488878605170545,0.33,5.247924020699646e-05,,True,0.04795654034097106,0.2510986282931566,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
fixed_interp_pchip,fixed_baseline,reference interpolation,DIAGNOSTIC_ONLY,False,pchip,50.0,1000.0,0.001,1.0,1.0,1.0,0.0,,0.2705546520465384,0.18957598807860154,0.31,5.247924018989732e-05,,True,0.047956517628241116,0.2743417189602192,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
fixed_reference_rate_25hz,fixed_baseline,reference sampling rate,DIAGNOSTIC_ONLY,False,linear,25.0,1000.0,0.001,1.0,1.0,1.0,0.0,,0.27045499298303044,0.18956617775679963,0.31,5.247924017614519e-05,,True,0.047956561682247593,0.2743307646034245,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
fixed_reference_rate_100hz,fixed_baseline,reference sampling rate,DIAGNOSTIC_ONLY,False,linear,100.0,1000.0,0.001,1.0,1.0,1.0,0.0,,0.27054562195734644,0.18957594220352472,0.31,5.247924018993543e-05,,True,0.047956517928664434,0.2734291328895986,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
fixed_controller_rate_500hz,fixed_baseline,controller update rate,DIAGNOSTIC_ONLY,False,linear,50.0,500.0,0.001,1.0,1.0,1.0,0.0,,0.27054075545055783,0.18957519453090807,0.31,5.247924081826409e-05,,True,0.047956514556102864,0.27350208391609065,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
fixed_controller_rate_200hz,fixed_baseline,controller update rate,DIAGNOSTIC_ONLY,False,linear,50.0,200.0,0.001,1.0,1.0,1.0,0.0,,0.2705264330619245,0.189572617921141,0.31,5.247924259925505e-05,,True,0.04795650391406036,0.2736191946687137,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
fixed_controller_rate_100hz,fixed_baseline,controller update rate,DIAGNOSTIC_ONLY,False,linear,50.0,100.0,0.001,1.0,1.0,1.0,0.0,,0.31506951223055374,0.23434769040397715,0.31,5.247924526760803e-05,,True,-0.014912173051516542,1.0,0.22104810996563573,0,0,0.0,NOT HARDWARE CALIBRATION
fixed_timestep_0005,fixed_baseline,simulation timestep,DIAGNOSTIC_ONLY,False,linear,50.0,1000.0,0.0005,1.0,1.0,1.0,0.0,,0.2705429619177721,0.18950832861319683,0.31,5.2479239989907176e-05,,True,0.047956504206820516,0.2735727212589376,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
fixed_velocity_limit_5,fixed_baseline,simulation target velocity limit,DIAGNOSTIC_ONLY,False,linear,50.0,1000.0,0.001,1.0,1.0,1.0,0.0,5.0,0.2705456219573519,0.18957594220352456,0.31,5.247924018993543e-05,,True,0.047956517928664434,0.27342913288959947,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
fixed_velocity_limit_2,fixed_baseline,simulation target velocity limit,DIAGNOSTIC_ONLY,False,linear,50.0,1000.0,0.001,1.0,1.0,1.0,0.0,2.0,0.2918198938345662,0.20411336246683956,0.35,5.247924018993543e-05,,True,0.047956793522207296,0.2731806276722175,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
fixed_shoulders_scale_1p5,fixed_baseline,simulation shoulder PD bandwidth,DIAGNOSTIC_ONLY,False,linear,50.0,1000.0,0.001,1.5,1.0,1.0,0.0,,0.2499860345033641,0.17429536471065932,0.29000000000000004,5.2479240189467894e-05,,True,0.04795378290119251,0.27226455978523695,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
fixed_shoulders_scale_2p0,fixed_baseline,simulation shoulder PD bandwidth,DIAGNOSTIC_ONLY,False,linear,50.0,1000.0,0.001,2.0,1.0,1.0,0.0,,0.23704943360832648,0.16508999553832981,0.28,5.247924018897507e-05,,True,0.04795293806182212,0.2723336872219864,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
fixed_shoulders_scale_3p0,fixed_baseline,simulation shoulder PD bandwidth,DIAGNOSTIC_ONLY,False,linear,50.0,1000.0,0.001,3.0,1.0,1.0,0.0,,0.22101796290189352,0.15408339940798094,0.26,5.247924018823364e-05,,True,0.04795257003119337,0.27230019809122935,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
fixed_shoulders_scale_4p0,fixed_baseline,simulation shoulder PD bandwidth,DIAGNOSTIC_ONLY,False,linear,50.0,1000.0,0.001,4.0,1.0,1.0,0.0,,0.21110498074519501,0.1474810988253787,0.25,5.247924018783758e-05,,True,0.047952526780551015,0.27222249141066307,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
fixed_shoulders_scale_6p0,fixed_baseline,simulation shoulder PD bandwidth,DIAGNOSTIC_ONLY,False,linear,50.0,1000.0,0.001,6.0,1.0,1.0,0.0,,0.1990095590734059,0.13961484672391328,0.24,5.2479240187499335e-05,,True,0.04795252059396009,0.2724720933760804,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
fixed_shoulders_scale_8p0,fixed_baseline,simulation shoulder PD bandwidth,DIAGNOSTIC_ONLY,False,linear,50.0,1000.0,0.001,8.0,1.0,1.0,0.0,,0.19163326764850427,0.13491040619140887,0.24,5.247924018738522e-05,,True,0.04795252047997871,0.27314361740511645,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
fixed_wrists_scale_1p5,fixed_baseline,simulation wrist PD bandwidth,DIAGNOSTIC_ONLY,False,linear,50.0,1000.0,0.001,1.0,1.5,1.0,0.0,,0.2510990808391828,0.17184084693907803,0.28,5.247924017703985e-05,,True,0.047956510954194564,0.27724239661813416,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
fixed_wrists_scale_2p0,fixed_baseline,simulation wrist PD bandwidth,DIAGNOSTIC_ONLY,False,linear,50.0,1000.0,0.001,1.0,2.0,1.0,0.0,,0.23836192727996983,0.16089880203421653,0.26,5.247924016204769e-05,,True,0.0479565099760037,0.2800103540559672,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
fixed_wrists_scale_3p0,fixed_baseline,simulation wrist PD bandwidth,DIAGNOSTIC_ONLY,False,linear,50.0,1000.0,0.001,1.0,3.0,1.0,0.0,,0.22197400730442593,0.14759132938259212,0.24,5.247924013063456e-05,,True,0.04795648989500524,0.28388520363081376,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
fixed_wrists_scale_4p0,fixed_baseline,simulation wrist PD bandwidth,DIAGNOSTIC_ONLY,False,linear,50.0,1000.0,0.001,1.0,4.0,1.0,0.0,,0.21146890535531077,0.13950205800063953,0.22999999999999998,5.247924009998717e-05,,True,0.047956485944481216,0.28653391315352916,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
fixed_wrists_scale_6p0,fixed_baseline,simulation wrist PD bandwidth,DIAGNOSTIC_ONLY,False,linear,50.0,1000.0,0.001,1.0,6.0,1.0,0.0,,0.19822479137749105,0.1297666805439064,0.21,5.247924004511684e-05,,True,0.04795648347587614,0.2907152858945207,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
fixed_wrists_scale_8p0,fixed_baseline,simulation wrist PD bandwidth,DIAGNOSTIC_ONLY,False,linear,50.0,1000.0,0.001,1.0,8.0,1.0,0.0,,0.18990175303728252,0.12389823897888166,0.2,5.2479239999205375e-05,,True,0.047956482339828674,0.2944652634476544,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
fixed_arm_pd_candidate,fixed_baseline,per-joint simulation arm PD bandwidth,ACCEPTED_SIM_CONTROLLER_ALIGNMENT,False,linear,50.0,1000.0,0.001,8.0,8.0,1.0,0.0,,0.1110113442000556,0.0692529565895108,0.13,5.247923999644204e-05,,True,0.04795252047993873,0.29264787353973537,0.0,0,0,0.0,NOT HARDWARE CALIBRATION
