experiment_id,candidate_family,parameter,old_value,new_value,heart_result,wave_result,safety_result,arm_tracking_preserved,mean_arm_rmse_rad,mean_balance_rmse_rad,balance_shape_score,max_pelvis_hip_penetration_m,minimum_limit_margin_rad,maximum_persistent_saturation_fraction,decision,warning
sweep_current_07,CURRENT,none,none,none,PASS,FAIL,FAIL,True,0.102134638000678,0.0252311340574569,2.7352980341230464,0.0010847833274041,0.0460616892587432,0.0,REJECTED_OR_DIAGNOSTIC_ONLY,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
ab_improved_arm_legacy_balance,A_B_SUBSYSTEM_ISOLATION,balance feedback,0.7x,legacy 1.0x with arm 8x retained,PASS,FAIL,FAIL,True,0.102539307430563,0.0861258228518862,14.41235238183624,0.0021412898048582,-0.1408634942489036,0.1003189792663476,REJECTED_OR_DIAGNOSTIC_ONLY,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_a_clamp_3_1p5,A_CLAMP,pitch/roll clamp Nm,unbounded,3/1.5,FAIL,FAIL,FAIL,False,0.477944992999636,0.1370214213759198,12.006252598400078,0.0007237255133342,-0.1016335739405331,0.0834710743801653,REJECTED_OR_DIAGNOSTIC_ONLY,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_a_clamp_5_2p5,A_CLAMP,pitch/roll clamp Nm,unbounded,5/2.5,FAIL,FAIL,FAIL,False,0.1870272117290578,0.149381292642038,13.17348143322248,0.0009850419224712,-0.0582971390743088,0.0892561983471074,REJECTED_OR_DIAGNOSTIC_ONLY,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_a_clamp_8_4,A_CLAMP,pitch/roll clamp Nm,unbounded,8/4,PASS,FAIL,FAIL,False,0.1047500013227518,0.060470124168628,8.64763694371702,0.0007330040617524,-0.077954441585642,0.0487240829346092,REJECTED_OR_DIAGNOSTIC_ONLY,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_b_rate_20_10,B_RATE_LIMIT,pitch/roll slew Nm/s,unbounded,20/10,PASS,FAIL,FAIL,True,0.1024311397133135,0.0573205236158033,8.9751730127441,0.0020547092500603,-0.0490093263886717,0.0073365231259968,REJECTED_OR_DIAGNOSTIC_ONLY,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_b_rate_50_25,B_RATE_LIMIT,pitch/roll slew Nm/s,unbounded,50/25,PASS,FAIL,FAIL,True,0.1021345819695062,0.0252246663524697,2.7171211314945247,0.0010685545372043,0.0460697566240912,0.0,REJECTED_OR_DIAGNOSTIC_ONLY,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_b_rate_100_50,B_RATE_LIMIT,pitch/roll slew Nm/s,unbounded,100/50,PASS,FAIL,FAIL,True,0.1021345642336129,0.0252410904212614,2.728125461263552,0.0010883760690579,0.0460945368933102,0.0,REJECTED_OR_DIAGNOSTIC_ONLY,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_c_ankle_0p7,C_JOINT_ALLOCATION,ankle contribution,1.0,0.7,PASS,PASS,PASS,True,0.1021347695369679,0.026816717948288,2.2552069372186025,0.0004835185996436,0.0460674819173601,0.0,ACCEPTED_FOR_FINAL_VALIDATION,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_c_distributed_light,C_JOINT_ALLOCATION,ankle/hip/knee/waist weights,1/0/0/0,0.7/-0.04/0.03/-0.02,PASS,FAIL,FAIL,True,0.1021358731946955,0.0232227030389474,2.039881014929585,0.0005890307322431,0.0460693596628486,0.0,REJECTED_OR_DIAGNOSTIC_ONLY,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_c_distributed_medium,C_JOINT_ALLOCATION,ankle/hip/knee/waist weights,1/0/0/0,0.5/-0.10/0.05/-0.05,FAIL,FAIL,FAIL,False,0.1891247334503778,0.2228217745252342,17.773049265672917,0.00292929756754,-0.0575260336280879,0.1387052341597796,REJECTED_OR_DIAGNOSTIC_ONLY,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_d_standing_0p75,D_STANDING_REFERENCE,standing reference scale,1.0,0.75,PASS,FAIL,FAIL,True,0.1021356903162793,0.0279357509925655,2.9318277255977283,0.0013305392918655,-0.0120469114311968,0.0,REJECTED_OR_DIAGNOSTIC_ONLY,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_d_standing_0p50,D_STANDING_REFERENCE,standing reference scale,1.0,0.50,PASS,FAIL,FAIL,True,0.1021370547083992,0.0324784298997158,3.4181965865361863,0.001488369003655,-0.0120710882115382,0.0,REJECTED_OR_DIAGNOSTIC_ONLY,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_d_standing_0p25,D_STANDING_REFERENCE,standing reference scale,1.0,0.25,PASS,FAIL,FAIL,True,0.1022253236291103,0.0493016788938373,6.378159958841904,0.002596921056048,-0.0709723651428004,0.0585326953748006,REJECTED_OR_DIAGNOSTIC_ONLY,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_d_left_hip_offset_0,D_STANDING_REFERENCE,left hip-pitch offset scale,1.0,0.0,PASS,FAIL,FAIL,False,0.1029182111602486,0.1200458425844155,10.68871137241285,0.0020954014152817,-0.0707309397952198,0.0538277511961722,REJECTED_OR_DIAGNOSTIC_ONLY,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
family_d_left_knee_offset_0p5,D_STANDING_REFERENCE,left knee offset scale,1.0,0.5,PASS,FAIL,FAIL,False,0.1037890767235591,0.1297547006650742,13.584660920454557,0.0024861636586017,-0.0686559545822158,0.1063795853269537,REJECTED_OR_DIAGNOSTIC_ONLY,SIMULATION CONTROLLER DESIGN; NOT HARDWARE CALIBRATION
