case,variable,delta_deg,left_distance_m,right_distance_m,left_delta_from_nominal_m,right_delta_from_nominal_m,warning_zone_m,hard_zone_m,classification
nominal,none,0.0,0.0015233686278937277,0.0,0.0,0.0,0.003,0.00075,SIMULATION_LOCAL_SENSITIVITY; NOT ROBOT GEOMETRY CALIBRATION
left_hip_roll_joint_plus_0p25deg,left_hip_roll_joint,0.25,0.00175516664804064,0.0,0.00023179802014691242,0.0,0.003,0.00075,SIMULATION_LOCAL_SENSITIVITY; NOT ROBOT GEOMETRY CALIBRATION
left_hip_roll_joint_minus_0p25deg,left_hip_roll_joint,-0.25,0.001290701372827055,0.0,-0.00023266725506667263,0.0,0.003,0.00075,SIMULATION_LOCAL_SENSITIVITY; NOT ROBOT GEOMETRY CALIBRATION
left_hip_pitch_joint_plus_0p25deg,left_hip_pitch_joint,0.25,0.0015226666518157784,0.0,-7.019760779492391e-07,0.0,0.003,0.00075,SIMULATION_LOCAL_SENSITIVITY; NOT ROBOT GEOMETRY CALIBRATION
left_hip_pitch_joint_minus_0p25deg,left_hip_pitch_joint,-0.25,0.0015241697842811137,0.0,8.011563873860407e-07,0.0,0.003,0.00075,SIMULATION_LOCAL_SENSITIVITY; NOT ROBOT GEOMETRY CALIBRATION
right_hip_roll_joint_plus_0p25deg,right_hip_roll_joint,0.25,0.0015233686278937277,0.0018143030693879804,0.0,0.0018143030693879804,0.003,0.00075,SIMULATION_LOCAL_SENSITIVITY; NOT ROBOT GEOMETRY CALIBRATION
right_hip_roll_joint_minus_0p25deg,right_hip_roll_joint,-0.25,0.0015233686278937277,0.0,0.0,0.0,0.003,0.00075,SIMULATION_LOCAL_SENSITIVITY; NOT ROBOT GEOMETRY CALIBRATION
right_hip_pitch_joint_plus_0p25deg,right_hip_pitch_joint,0.25,0.0015233686278937277,0.0020440448318006237,0.0,0.0020440448318006237,0.003,0.00075,SIMULATION_LOCAL_SENSITIVITY; NOT ROBOT GEOMETRY CALIBRATION
right_hip_pitch_joint_minus_0p25deg,right_hip_pitch_joint,-0.25,0.0015233686278937277,0.0020443828896159,0.0,0.0020443828896159,0.003,0.00075,SIMULATION_LOCAL_SENSITIVITY; NOT ROBOT GEOMETRY CALIBRATION
waist_roll_joint_plus_0p25deg,waist_roll_joint,0.25,0.0015233686278937277,0.0,0.0,0.0,0.003,0.00075,SIMULATION_LOCAL_SENSITIVITY; NOT ROBOT GEOMETRY CALIBRATION
waist_roll_joint_minus_0p25deg,waist_roll_joint,-0.25,0.0015233686278937277,0.0,0.0,0.0,0.003,0.00075,SIMULATION_LOCAL_SENSITIVITY; NOT ROBOT GEOMETRY CALIBRATION
waist_pitch_joint_plus_0p25deg,waist_pitch_joint,0.25,0.0015233686278937277,0.0,0.0,0.0,0.003,0.00075,SIMULATION_LOCAL_SENSITIVITY; NOT ROBOT GEOMETRY CALIBRATION
waist_pitch_joint_minus_0p25deg,waist_pitch_joint,-0.25,0.0015233686278937277,0.0,0.0,0.0,0.003,0.00075,SIMULATION_LOCAL_SENSITIVITY; NOT ROBOT GEOMETRY CALIBRATION
pelvis_roll_plus_0p25deg,pelvis_roll,0.25,0.0015233686278937123,0.0020448620292863318,-1.5395670849294163e-17,0.0020448620292863318,0.003,0.00075,SIMULATION_LOCAL_SENSITIVITY; NOT ROBOT GEOMETRY CALIBRATION
pelvis_roll_minus_0p25deg,pelvis_roll,-0.25,0.0015233686278937374,0.002044862029286358,9.75781955236954e-18,0.002044862029286358,0.003,0.00075,SIMULATION_LOCAL_SENSITIVITY; NOT ROBOT GEOMETRY CALIBRATION
pelvis_pitch_plus_0p25deg,pelvis_pitch,0.25,0.0015233686278937277,0.0,0.0,0.0,0.003,0.00075,SIMULATION_LOCAL_SENSITIVITY; NOT ROBOT GEOMETRY CALIBRATION
pelvis_pitch_minus_0p25deg,pelvis_pitch,-0.25,0.0015233686278937242,0.0020448620292863253,-3.469446951953614e-18,0.0020448620292863253,0.003,0.00075,SIMULATION_LOCAL_SENSITIVITY; NOT ROBOT GEOMETRY CALIBRATION
safe_standing_left_hip_roll_plus_0p025rad,left_hip_roll_joint,1.4323944878270582,0.002839562321148678,0.0,0.0013161936932549502,0.0,0.003,0.00075,SIMULATION_LOCAL_SENSITIVITY; NOT ROBOT GEOMETRY CALIBRATION
