experiment_id,family,dataset,mode,stable_no_fall,fall_time_s,contact_safety_pass,pelvis_hip_contact_samples,minimum_positive_precontact_distance_m,maximum_pelvis_hip_penetration_m,limit_management_pass,minimum_limit_margin_rad,saturation_management_pass,persistent_saturation_fraction,max_consecutive_saturation_s,minimum_com_support_margin_m,arm_tracking_retained,balance_shape_score,safety_pass,architecture_hypothesis,changed_flags,classification
ax_legacy_additive,LEGACY_BALANCE_ARCHITECTURE,heart,arm_only,True,,True,0,0.003256356517264674,0.0,True,0.047952547258508296,True,0.0,0.0,0.007626072121147201,True,1.4675374396490946,True,Frozen Phase 3A-R torque-additive baseline; no constraint awareness,,SINGLE_FACTOR_EVIDENCE
ax_legacy_additive,LEGACY_BALANCE_ARCHITECTURE,wave,arm_only,True,,False,687,8.699950368125538e-06,0.000486381935220113,True,0.04606210741078906,True,0.0,0.0,0.01808431691772132,True,0.8611426826611638,False,Frozen Phase 3A-R torque-additive baseline; no constraint awareness,,SINGLE_FACTOR_EVIDENCE
ax_legacy_additive,LEGACY_BALANCE_ARCHITECTURE,wave,whole_body,False,7.450000000000823,False,353,7.74320110229302e-05,0.002575305302289047,False,-0.06282042617234473,False,0.5083565459610028,6.98,-0.5155148127572499,True,3.2911412445064068,False,Frozen Phase 3A-R torque-additive baseline; no constraint awareness,,SINGLE_FACTOR_EVIDENCE
ax_a_limit,AX-A_JOINT_LIMIT_AWARE,wave,whole_body,False,7.445000000000821,False,353,1.2631650032167905e-05,0.0025909990281753528,False,-0.020998133130264773,False,0.4972144846796657,6.8,-0.5197130708284482,True,3.250485681042858,False,Break tracking->limit by directional mechanical-margin scaling,limit_aware,SINGLE_FACTOR_EVIDENCE
ax_b_contact,AX-B_CONTACT_MARGIN_AWARE,wave,standing,True,,True,0,0.0009037727184440809,0.0,True,0.04610005737015222,True,0.0,0.0,0.055776189300074754,True,,True,Break posture->contact by pre-contact geom-distance scaling and gradient retreat,contact_aware,SINGLE_FACTOR_EVIDENCE
ax_b_contact,AX-B_CONTACT_MARGIN_AWARE,wave,arm_only,True,,True,0,0.0009037727184440809,0.0,True,0.04610005737015222,True,0.0,0.0,0.00862970640432946,True,0.932091140679191,True,Break posture->contact by pre-contact geom-distance scaling and gradient retreat,contact_aware,SINGLE_FACTOR_EVIDENCE
ax_c_rate,AX-C_CHANNEL_RATE_LIMITED,wave,whole_body,False,7.470000000000829,False,371,3.615033907053279e-05,0.0023333139499438714,False,-0.022435186886046288,False,0.5027855153203342,6.78,-0.513748304300517,True,3.274720930009625,False,Break disturbance->excursion with independent ankle/hip/knee/waist slew limits,rate_aware,SINGLE_FACTOR_EVIDENCE
ax_d_saturation,AX-D_SATURATION_AWARE,wave,whole_body,False,7.2490000000007555,False,333,2.0053699566313626e-05,0.0012735490248985447,False,-0.05956762358779488,False,0.5487465181058496,7.02,-0.4437520418046334,True,3.059626602866222,False,Break saturation->continued correction using available actuator authority,saturation_aware,SINGLE_FACTOR_EVIDENCE
ax_e_pitch_roll,AX-E_PITCH_ROLL_DECOMPOSED,heart,arm_only,True,,True,0,0.003256454842198494,0.0,True,0.0479525425989183,True,0.0,0.0,0.00762728846581151,True,1.4688766146140255,True,Prevent cross-plane noise from consuming correction authority,split_pitch_roll,SINGLE_FACTOR_EVIDENCE
ax_e_pitch_roll,AX-E_PITCH_ROLL_DECOMPOSED,wave,arm_only,True,,False,687,8.662222688999139e-06,0.0004863827865874522,True,0.04606256264943201,True,0.0,0.0,0.01809058898208042,True,0.8611322887209467,False,Prevent cross-plane noise from consuming correction authority,split_pitch_roll,SINGLE_FACTOR_EVIDENCE
ax_f_constraint_allocation,AX-F_CONSTRAINT_AWARE_ALLOCATION,heart,arm_only,False,2.6539999999998187,False,5,7.015996513715283e-05,0.0007428936435357028,False,-0.0726391975492946,False,0.8212005108556832,10.62,-0.5018288641677514,True,1.8185367386231837,False,"Redistribute pitch/roll demand away from contact, limit, and saturation constraints","limit_aware,contact_aware,saturation_aware,split_pitch_roll,dynamic_allocation",SINGLE_FACTOR_EVIDENCE
ax_f_constraint_allocation,AX-F_CONSTRAINT_AWARE_ALLOCATION,wave,arm_only,False,3.1929999999997594,False,9,1.491422056115191e-05,0.0017744578996161425,False,-0.0362373978173709,False,0.8231197771587744,10.82,-0.46504878390156007,False,1.760681088194207,False,"Redistribute pitch/roll demand away from contact, limit, and saturation constraints","limit_aware,contact_aware,saturation_aware,split_pitch_roll,dynamic_allocation",SINGLE_FACTOR_EVIDENCE
ax_f_constraint_allocation,AX-F_CONSTRAINT_AWARE_ALLOCATION,wave,whole_body,False,2.716999999999812,False,9,4.023884781171564e-06,0.002030000988516722,False,-0.04707739729085769,False,0.8593314763231198,11.68,-0.4495232427161609,False,1.755959979063145,False,"Redistribute pitch/roll demand away from contact, limit, and saturation constraints","limit_aware,contact_aware,saturation_aware,split_pitch_roll,dynamic_allocation",SINGLE_FACTOR_EVIDENCE
