experiment_id,family,dataset,mode,stable_no_fall,fall_time_s,contact_safety_pass,pelvis_hip_contact_samples,minimum_positive_precontact_distance_m,maximum_pelvis_hip_penetration_m,limit_management_pass,minimum_limit_margin_rad,saturation_management_pass,persistent_saturation_fraction,max_consecutive_saturation_s,minimum_com_support_margin_m,arm_tracking_retained,balance_shape_score,safety_pass,hypothesis,fit_dataset,evaluation,classification
ay_fixed_ax,AY_MOTION_CONDITIONED_RESPONSE,heart,arm_only,True,,True,0.0,0.0028513112183424,0.0,True,0.0479525190588151,True,0.0,0.0,0.0070688268889809,True,1.4609560273683,True,Frozen 3A-X fixed response expressed through the new interface,,,
ay_fixed_ax,AY_MOTION_CONDITIONED_RESPONSE,wave,arm_only,True,,True,0.0,0.0011458942937476,0.0,True,0.0462195934621648,True,0.0,0.0,0.0190949796236046,True,1.0731058832776357,True,Frozen 3A-X fixed response expressed through the new interface,,,
ay_heart_structure,AY_MOTION_CONDITIONED_RESPONSE,heart,arm_only,True,,True,0.0,0.0028680765710835,0.0,True,0.0479526167819807,True,0.0,0.0,0.0414897572894609,True,1.2044773914804183,True,Heart-only structure: ankle-dominant pitch and explicit waist-roll response,,,
ay_heart_structure,AY_MOTION_CONDITIONED_RESPONSE,wave,arm_only,True,,True,0.0,0.001155237942738,0.0,True,0.0462186014911719,True,0.0,0.0,0.0396941427236587,True,1.2167723170925402,True,Heart-only structure: ankle-dominant pitch and explicit waist-roll response,,,
ay_wave_structure,AY_MOTION_CONDITIONED_RESPONSE,heart,arm_only,False,3.484999999999727,False,23.0,2.028678815058802e-05,0.0011060805798226,False,-0.0442832170148359,False,0.7611749680715197,11.92,-0.565309089985923,True,1.3239054255296867,False,Wave-only structure: suppress passive knee response with signed bounded knee share,,,
ay_wave_structure,AY_MOTION_CONDITIONED_RESPONSE,wave,arm_only,False,3.838999999999688,False,46.0,0.0001012613450557,0.0011972574218249,False,-0.0389858993791333,False,0.7228412256267409,10.38,-0.539172793619703,False,1.585809847401466,False,Wave-only structure: suppress passive knee response with signed bounded knee share,,,
ay_low_wave_pitch,AY_MOTION_CONDITIONED_RESPONSE,heart,arm_only,False,2.2029999999998684,False,0.0,0.0015111283247327,0.0,False,-0.0834646847531151,False,0.7011494252873564,10.58,-0.5499156768256509,True,1.7087575381362576,False,Nonnegative wave-only diagnostic: reduce total pitch request without changing distribution,,,
ay_low_wave_pitch,AY_MOTION_CONDITIONED_RESPONSE,wave,arm_only,False,2.1389999999998754,False,12.0,5.953738276649188e-06,0.0009416621438236,False,-0.0548186536186144,False,0.8314763231197771,11.74,-0.5194511313298671,False,2.076158106240499,False,Nonnegative wave-only diagnostic: reduce total pitch request without changing distribution,,,
ay_knee_support,AY_MOTION_CONDITIONED_RESPONSE,heart,arm_only,False,3.740999999999699,False,4.0,0.0003306927731801,0.0006850988297574,False,-0.1037099777118731,False,0.6998722860791826,10.56,-0.4885240613605393,True,2.0620839311526358,False,Nonnegative diagnostic: test whether increased same-sign knee authority restrains passive knee coupling,,,
ay_knee_support,AY_MOTION_CONDITIONED_RESPONSE,wave,arm_only,False,4.26799999999976,False,9.0,0.0002016078925648,0.0017447579644084,False,-0.0439465053841096,False,0.6977715877437326,9.76,-0.4798929610889155,False,2.7983451236155314,False,Nonnegative diagnostic: test whether increased same-sign knee authority restrains passive knee coupling,,,
