condition,mode,timestamp_s,sim_time_s,geom1_id,geom2_id,signed_wrist_geom_distance_m,nearest_point_geom1_x_m,nearest_point_geom1_y_m,nearest_point_geom1_z_m,nearest_point_geom2_x_m,nearest_point_geom2_y_m,nearest_point_geom2_z_m
original,arm_only,-4.999,0.001,67,80,0.44901070605691534,0.18052170095125908,0.2254484454959545,0.6815181897408158,0.17785775543370944,-0.22353479672574167,0.677327038096834
original,arm_only,-4.998,0.002,67,80,0.4490121559437216,0.18052331820062154,0.22544930140710703,0.6815133556950749,0.17785923654181307,-0.22353538960188662,0.6773221632987854
original,arm_only,-4.997,0.003,67,80,0.4490149532147597,0.1805265050083871,0.22545109025892926,0.6815032369908146,0.17786214590886684,-0.2235363953606798,0.6773119176253855
original,arm_only,-4.996,0.004,67,80,0.44901896441847533,0.18053120953913648,0.2254538658705402,0.6814874820202264,0.17786641462882474,-0.2235376263081447,0.6772959158828599
original,arm_only,-4.995,0.005,67,80,0.4490240255170869,0.18053734717013553,0.22545773621076362,0.6814659469734741,0.1778719212549505,-0.22353880872916787,0.6772738558169947
original,arm_only,-4.994,0.006,67,80,0.44903004235421085,0.1805448350432252,0.2254627791190816,0.6814385102347313,0.17787858262017697,-0.22353976939630854,0.6772454849157368
original,arm_only,-4.993,0.007,67,80,0.4490369377943516,0.18055359352496422,0.22546905535975437,0.681405078242616,0.1778863238143718,-0.2235403695273864,0.6772106130158606
original,arm_only,-4.992,0.008,67,80,0.44904458813021825,0.18056354278990855,0.22547661039756653,0.6813655869752442,0.17789505959319543,-0.22354043913784505,0.6771690940370939
original,arm_only,-4.991,0.009000000000000001,67,80,0.4490528409993512,0.18057457142013933,0.22548544469458992,0.6813199085591841,0.1779047126913574,-0.22353982596708116,0.6771208406661917
original,arm_only,-4.99,0.010000000000000002,67,80,0.4490615508191297,0.18058657982578766,0.22549553539731845,0.6812679073002457,0.1779152160940305,-0.22353840843085374,0.6770658209122313
original,arm_only,-4.989,0.011000000000000003,67,80,0.4490705999561626,0.18059942918710026,0.2255068772480772,0.6812095221898984,0.17792646526823558,-0.22353607487859964,0.6770040312274338
original,arm_only,-4.988,0.012000000000000004,67,80,0.4490799165963536,0.1806129697317605,0.22551950462114273,0.6811447464613769,0.1779383514586358,-0.22353271959404342,0.6769354906274818
original,arm_only,-4.987,0.013000000000000005,67,80,0.4490894318508348,0.18062706461059955,0.22553344518599605,0.681073582166368,0.17795078185568447,-0.22352824653237735,0.6768602293738816
original,arm_only,-4.986,0.014000000000000005,67,80,0.4490990620653603,0.1806415898165028,0.22554869985620396,0.6809960246470649,0.1779636753129077,-0.2235225717509075,0.6767782836557539
original,arm_only,-4.985,0.015000000000000006,67,80,0.4491083677489337,0.1806546186690641,0.22556436262650098,0.680914515272984,0.17797587885844984,-0.22351616953517559,0.676692434207452
original,arm_only,-4.984,0.016000000000000007,67,80,0.44911723429923395,0.18066618467516232,0.22558017790213408,0.6808293465883268,0.17798737996346622,-0.22350918144692705,0.6766030634270357
original,arm_only,-4.983,0.017000000000000008,67,80,0.4491255645329287,0.1806764103313858,0.22559591737507914,0.6807408546619043,0.1779981816458237,-0.22350173819368185,0.6765105389795607
original,arm_only,-4.982,0.01800000000000001,67,80,0.4491332882766918,0.18068538673199136,0.22561138288559066,0.6806493548697307,0.17800829876555763,-0.22349396813029593,0.676415263804203
original,arm_only,-4.981,0.01900000000000001,67,80,0.44914036175822436,0.18069319961528646,0.22562640139561868,0.6805551263798311,0.17801775788158491,-0.22348600113358777,0.6763176192963822
original,arm_only,-4.98,0.02000000000000001,67,80,0.4491467725165141,0.18069995603171382,0.22564079832005646,0.6804583487411424,0.1780266250935925,-0.2234780008995008,0.6762179771442669
original,arm_only,-4.979,0.02100000000000001,67,80,0.44915252517755033,0.18070576784600664,0.22565442943785974,0.6803591757592276,0.17803499786779337,-0.22347011800091549,0.676116682505401
original,arm_only,-4.978,0.022000000000000013,67,80,0.4491576487748509,0.18071075748874738,0.22566717651247137,0.6802577166632848,0.17804301224728913,-0.2234625017011242,0.6760140465499175
original,arm_only,-4.977,0.023000000000000013,67,80,0.44916216891172117,0.18071514155656435,0.22567895332649818,0.6801541610334909,0.17805080399397683,-0.22345526405771968,0.6759103347528498
original,arm_only,-4.976,0.024000000000000014,67,80,0.4491661053400477,0.18071922296792906,0.22568970244199738,0.6800487768484592,0.17805850710205431,-0.22344848085802665,0.675805773268214
original,arm_only,-4.975,0.025000000000000015,67,80,0.44916945230436645,0.18072322755107406,0.22569938426962335,0.6799418814387863,0.1780662531695409,-0.22344218502114693,0.6757006427559613
original,arm_only,-4.974,0.026000000000000016,67,80,0.4491722060622328,0.18072735215344318,0.2257079703110885,0.6798337914524797,0.17807417812619047,-0.22343640059479966,0.6755952244837989
original,arm_only,-4.973,0.027000000000000017,67,80,0.4491744711102329,0.18073174400670677,0.22571558437900865,0.6797249348473832,0.17808227321009718,-0.22343110627437526,0.6754898342855633
original,arm_only,-4.972,0.028000000000000018,67,80,0.4491763493884967,0.1807366252423335,0.22572231989626765,0.6796155641842956,0.17809070562427276,-0.22342630939458324,0.6753846345581473
original,arm_only,-4.971,0.02900000000000002,67,80,0.44917797347160576,0.18074200048511457,0.22572843410009827,0.6795060694240184,0.17809949870797703,-0.22342188452574335,0.6752799228670042
original,arm_only,-4.97,0.03000000000000002,67,80,0.44917942664806604,0.18074794073306127,0.2257339596724571,0.6793965051386298,0.17810877398517772,-0.22341788269834445,0.675175768511358
original,arm_only,-4.969,0.03100000000000002,67,80,0.4491807806248618,0.18075451328888179,0.2257389236940594,0.6792869139774237,0.1781186557604729,-0.2234143491483046,0.67507224520716
original,arm_only,-4.968,0.03200000000000002,67,80,0.4491820964368662,0.18076175319388887,0.2257433687868759,0.6791773877771538,0.17812922019650682,-0.2234113023384698,0.6749694267841752
original,arm_only,-4.967,0.03300000000000002,67,80,0.4491834264894592,0.18076967876819075,0.22574734363664245,0.6790680453834492,0.17814051080065713,-0.22340874564035962,0.6748673818644809
original,arm_only,-4.966,0.03400000000000002,67,80,0.4491848164289473,0.18077831806953454,0.2257508923779932,0.6789589930242774,0.17815257351703634,-0.22340668019389204,0.6747661685366829
original,arm_only,-4.965,0.035000000000000024,67,80,0.4491863055987273,0.18078770720869997,0.2257540549838196,0.6788503261640396,0.1781654560307284,-0.22340510498033708,0.6746658361728957
original,arm_only,-4.964,0.036000000000000025,67,80,0.44918792744617453,0.18079788899328442,0.225756867495368,0.6787421307975093,0.17817920725076725,-0.22340401700494245,0.6745664267586687
original,arm_only,-4.963,0.037000000000000026,67,80,0.4491897053669345,0.18080891108621644,0.22575936435561295,0.6786344902208101,0.1781938733648218,-0.22340340479417678,0.6744679814854555
original,arm_only,-4.962,0.03800000000000003,67,80,0.44919165952147805,0.18082082497378643,0.225761578850828,0.6785274810627873,0.17820950165320784,-0.22340325476474854,0.6743705329916265
original,arm_only,-4.961,0.03900000000000003,67,80,0.4491938045158639,0.18083368448416293,0.22576353828460988,0.6784211755830791,0.17822613758129888,-0.2234035537823909,0.6742741141343014
original,arm_only,-4.96,0.04000000000000003,67,80,0.4491961544040871,0.18084754632405223,0.22576527115420147,0.678315638121161,0.17824382906068956,-0.2234042869370041,0.6741787465364021
original,arm_only,-4.959,0.04100000000000003,67,80,0.4491987177816448,0.18086246833400826,0.22576679992416182,0.6782109294071135,0.17826262151063105,-0.22340543992553136,0.6740844537221619
original,arm_only,-4.958,0.04200000000000003,67,80,0.4492015019946016,0.18087850997872812,0.22576814713141227,0.6781071036807083,0.1782825613389052,-0.22340699711838322,0.6739912522449851
original,arm_only,-4.957,0.04300000000000003,67,80,0.44920451176978,0.1808957314610273,0.22576933286898637,0.6780042101951573,0.17830369429861265,-0.2234089427229447,0.6738991555141243
original,arm_only,-4.956,0.04400000000000003,67,80,0.44920775063806245,0.18091419379062065,0.225770375297609,0.67790229160894,0.17832606645187676,-0.2234112616995047,0.6738081720724132
original,arm_only,-4.955,0.04500000000000003,67,80,0.4492112181673349,0.18093395729753675,0.22577129159968887,0.677801389359272,0.17834972139352911,-0.22341393601952386,0.6737183095352368
original,arm_only,-4.954,0.046000000000000034,67,80,0.4492149112988802,0.18095508123281273,0.22577209263322393,0.6777015413886389,0.17837470047927687,-0.22341695140231632,0.673629577873936
original,arm_only,-4.953,0.047000000000000035,67,80,0.44921882681424985,0.18097762443009918,0.22577278977185203,0.6776027808328988,0.17840104523099004,-0.22342029289847726,0.6735419822502995
original,arm_only,-4.952,0.048000000000000036,67,80,0.449222960264988,0.18100164465397828,0.22577339301941207,0.6775051374395245,0.17842879599722536,-0.2234239457162402,0.6734555261203847
original,arm_only,-4.951,0.04900000000000004,67,80,0.449227308788668,0.18102719878843285,0.2257739150688788,0.677408636474438,0.17845799385799455,-0.22342789395441293,0.6733702063664797
original,arm_only,-4.95,0.05000000000000004,67,80,0.44923186766928064,0.18105434241628846,0.22577436639931753,0.67731330054943,0.1784886781230277,-0.22343212209189503,0.6732860193625163
original,arm_only,-4.949,0.05100000000000004,67,80,0.4492366306900273,0.1810831298947693,0.22577475459236915,0.6772191487324997,0.17852088660711507,-0.22343661603601606,0.6732029613326878
original,arm_only,-4.948,0.05200000000000004,67,80,0.4492415888402992,0.18111361438386198,0.22577509128711074,0.6771262008378501,0.1785546548726648,-0.2234413548311069,0.6731210283203479
original,arm_only,-4.947,0.05300000000000004,67,80,0.4492467341298057,0.18114584514901388,0.22577538373833878,0.6770344751127763,0.17859001601413688,-0.22344632295623257,0.6730402169656096
original,arm_only,-4.946,0.05400000000000004,67,80,0.44925205688432535,0.1811798707223271,0.22577563749362722,0.6769439865420982,0.17862700225425374,-0.22345150493725158,0.6729605231283367
original,arm_only,-4.945,0.05500000000000004,67,80,0.4492575328640016,0.18121573561113083,0.22577585987068172,0.676854741742988,0.17866563498247634,-0.22345686889456648,0.6728819306523156
original,arm_only,-4.944,0.05600000000000004,67,80,0.44926313962295195,0.1812534802469468,0.22577604628114611,0.6767667489201985,0.17870593288908238,-0.22346239678080698,0.6728044387854679
original,arm_only,-4.943,0.057000000000000044,67,80,0.4492688654648461,0.18129309729344506,0.22577633596941463,0.6766801742241587,0.17874787097112638,-0.22346793632944917,0.6727280727954839
original,arm_only,-4.942,0.058000000000000045,67,80,0.4492746436769344,0.18133463437930347,0.22577668644974075,0.6765950861421076,0.17879139937292604,-0.2234734643630245,0.6726530813924461
original,arm_only,-4.941,0.059000000000000045,67,80,0.4492804700210952,0.18137811867945533,0.22577709698185378,0.6765115284950227,0.17883653120712717,-0.22347897742724773,0.6725795211170287
original,arm_only,-4.94,0.060000000000000046,67,80,0.4492863263914665,0.18142357421397887,0.2257775698700532,0.6764295347677058,0.17888328137122866,-0.22348445509819287,0.6725074286952739
original,arm_only,-4.939,0.06100000000000005,67,80,0.4492921967170533,0.18147102115935074,0.2257781071576007,0.6763491246778623,0.17893166139522138,-0.22348987925017363,0.6724368271524258
original,arm_only,-4.938,0.06200000000000005,67,80,0.4492980816574979,0.181520475678452,0.2257787151397851,0.6762703195442903,0.17898168745904725,-0.22349524423301967,0.6723677351482755
original,arm_only,-4.937,0.06300000000000004,67,80,0.4493039827775173,0.18157195416705663,0.2257794004335407,0.676193131855523,0.17903337660475047,-0.22350054497878968,0.6723001620388951
original,arm_only,-4.936,0.06400000000000004,67,80,0.4493099002904985,0.18162547233851026,0.22578016748283264,0.6761175677975412,0.17908674424611726,-0.2235057772555341,0.6722341132421364
original,arm_only,-4.935,0.06500000000000004,67,80,0.4493158331079237,0.18168104502299914,0.22578101879857554,0.6760436284010558,0.17914180411895014,-0.223510937474941,0.6721695910993223
original,arm_only,-4.934,0.06600000000000004,67,80,0.44932177876354223,0.18173868606365948,0.22578195509448357,0.6759713104563969,0.1791985682507879,-0.22351602247874813,0.672106595546585
original,arm_only,-4.933,0.06700000000000005,67,80,0.4493277283022966,0.1817984100832233,0.22578297107344916,0.6759006059252773,0.17925704701048759,-0.22352102863889323,0.672045124434411
original,arm_only,-4.932,0.06800000000000005,67,80,0.44933367262811746,0.1818602302321747,0.22578406104609583,0.6758315041123334,0.17931724901659418,-0.2235259525862025,0.6719851742053546
original,arm_only,-4.931,0.06900000000000005,67,80,0.44933960385118615,0.18192415836954157,0.22578521957852613,0.675763990798504,0.17937918239187128,-0.22353079189570874,0.6719267366631626
original,arm_only,-4.93,0.07000000000000005,67,80,0.4493455111186543,0.18199020381410477,0.2257864383430866,0.675698053448433,0.17944285061582005,-0.22353554410214133,0.6718698102928767
original,arm_only,-4.929,0.07100000000000005,67,80,0.4493511850791585,0.18205840173419321,0.22578774760898304,0.6756338192731883,0.17950820371284842,-0.22353996885640218,0.6718144949745057
original,arm_only,-4.928,0.07200000000000005,67,80,0.44935680009543993,0.1821285931435694,0.2257891433416523,0.6755715750636481,0.1795751406616186,-0.22354424427402422,0.6717610047315541
original,arm_only,-4.927,0.07300000000000005,67,80,0.4493623610186446,0.18220078249682262,0.22579061251737775,0.6755113497412998,0.1796436698880066,-0.22354838851286088,0.6717093991230442
original,arm_only,-4.926,0.07400000000000005,67,80,0.4493678196492654,0.18227487623529343,0.22579205155687196,0.6754533550789039,0.1797137260909245,-0.22355245696629739,0.671659872991941
original,arm_only,-4.925,0.07500000000000005,67,80,0.44937294298134617,0.18235095159647685,0.2257934295756951,0.675397725904476,0.17978525039071633,-0.22355624832723842,0.6716127517210971
original,arm_only,-4.924,0.07600000000000005,67,80,0.44937765940330165,0.18242902159192942,0.225794770018235,0.6753446101675677,0.1798582176378145,-0.22355966742770722,0.6715681984500624
original,arm_only,-4.923,0.07700000000000005,67,80,0.44938199672121104,0.18250908097607677,0.22579610681702517,0.6752940993249403,0.17993262430300552,-0.2235627082574443,0.6715263197370226
original,arm_only,-4.922,0.07800000000000006,67,80,0.4493859581565587,0.18259112560674357,0.22579747137430348,0.6752462779364272,0.18000846150010996,-0.22356534269245099,0.6714872131048472
original,arm_only,-4.921,0.07900000000000006,67,80,0.4493895678071091,0.1826751440010635,0.22579889103119316,0.6752012074307111,0.18008572118684668,-0.22356756762663355,0.6714509572159554
original,arm_only,-4.92,0.08000000000000006,67,80,0.4493928664808882,0.1827611191395812,0.22580038935046398,0.6751589232135984,0.18016439839395437,-0.22356940049989021,0.6714176059152263
original,arm_only,-4.919,0.08100000000000006,67,80,0.4493958991558352,0.18284903097742256,0.22580198424596,0.6751194389738532,0.18024448920726793,-0.22357086860303851,0.6713871926527398
