actuator,joint,control_type,kp_simulation,kd_simulation,gear,ctrlrange,forcerange,joint_actuatorfrcrange,joint_damping,armature,frictionloss,parameter_status
motor_left_hip_pitch_joint,left_hip_pitch_joint,direct-drive motor / torque-like ctrl,115.0,17.158088471621774,1.0,"[-118.0, 118.0]","[0.0, 0.0]","[-120.0, 120.0]",0.0,0.03,0.3,SIMULATION_ONLY_NOT_HARDWARE_CALIBRATED
motor_left_hip_roll_joint,left_hip_roll_joint,direct-drive motor / torque-like ctrl,115.0,17.158088471621774,1.0,"[-118.0, 118.0]","[0.0, 0.0]","[-120.0, 120.0]",0.0,0.03,0.3,SIMULATION_ONLY_NOT_HARDWARE_CALIBRATED
motor_left_hip_yaw_joint,left_hip_yaw_joint,direct-drive motor / torque-like ctrl,115.0,17.158088471621774,1.0,"[-118.0, 118.0]","[0.0, 0.0]","[-120.0, 120.0]",0.0,0.03,0.3,SIMULATION_ONLY_NOT_HARDWARE_CALIBRATED
motor_left_knee_joint,left_knee_joint,direct-drive motor / torque-like ctrl,115.0,17.158088471621774,1.0,"[-118.0, 118.0]","[0.0, 0.0]","[-120.0, 120.0]",0.0,0.03,0.3,SIMULATION_ONLY_NOT_HARDWARE_CALIBRATED
motor_left_ankle_pitch_joint,left_ankle_pitch_joint,direct-drive motor / torque-like ctrl,55.0,11.865917579353061,1.0,"[-36.0, 36.0]","[0.0, 0.0]","[-36.0, 36.0]",0.0,0.03,0.3,SIMULATION_ONLY_NOT_HARDWARE_CALIBRATED
motor_left_ankle_roll_joint,left_ankle_roll_joint,direct-drive motor / torque-like ctrl,55.0,11.865917579353061,1.0,"[-24.0, 24.0]","[0.0, 0.0]","[-24.0, 24.0]",0.0,0.03,0.3,SIMULATION_ONLY_NOT_HARDWARE_CALIBRATED
motor_right_hip_pitch_joint,right_hip_pitch_joint,direct-drive motor / torque-like ctrl,115.0,17.158088471621774,1.0,"[-118.0, 118.0]","[0.0, 0.0]","[-120.0, 120.0]",0.0,0.03,0.3,SIMULATION_ONLY_NOT_HARDWARE_CALIBRATED
motor_right_hip_roll_joint,right_hip_roll_joint,direct-drive motor / torque-like ctrl,115.0,17.158088471621774,1.0,"[-118.0, 118.0]","[0.0, 0.0]","[-120.0, 120.0]",0.0,0.03,0.3,SIMULATION_ONLY_NOT_HARDWARE_CALIBRATED
motor_right_hip_yaw_joint,right_hip_yaw_joint,direct-drive motor / torque-like ctrl,115.0,17.158088471621774,1.0,"[-118.0, 118.0]","[0.0, 0.0]","[-120.0, 120.0]",0.0,0.03,0.3,SIMULATION_ONLY_NOT_HARDWARE_CALIBRATED
motor_right_knee_joint,right_knee_joint,direct-drive motor / torque-like ctrl,115.0,17.158088471621774,1.0,"[-118.0, 118.0]","[0.0, 0.0]","[-120.0, 120.0]",0.0,0.03,0.3,SIMULATION_ONLY_NOT_HARDWARE_CALIBRATED
