side,geom_id,type,size,local_pos,world_pos,surface_z,friction,contype,conaffinity,solref,solimp
left,15,2,"[0.005, 0.0, 0.0]","[-0.05, 0.05, -0.068]","[-0.06941, 0.18715008900000002, 0.010050000000000003]",0.005050000000000003,"[1.0, 0.005, 0.0001]",1,1,"[0.02, 1.0]","[0.9, 0.95, 0.001, 0.5, 2.0]"
left,16,2,"[0.005, 0.0, 0.0]","[-0.065, 0.025, -0.068]","[-0.08441000000000001, 0.162150089, 0.010050000000000003]",0.005050000000000003,"[1.0, 0.005, 0.0001]",1,1,"[0.02, 1.0]","[0.9, 0.95, 0.001, 0.5, 2.0]"
left,17,2,"[0.005, 0.0, 0.0]","[-0.05, -0.05, -0.068]","[-0.06941, 0.087150089, 0.010050000000000003]",0.005050000000000003,"[1.0, 0.005, 0.0001]",1,1,"[0.02, 1.0]","[0.9, 0.95, 0.001, 0.5, 2.0]"
left,18,2,"[0.005, 0.0, 0.0]","[-0.065, -0.025, -0.068]","[-0.08441000000000001, 0.11215008900000001, 0.010050000000000003]",0.005050000000000003,"[1.0, 0.005, 0.0001]",1,1,"[0.02, 1.0]","[0.9, 0.95, 0.001, 0.5, 2.0]"
left,19,2,"[0.005, 0.0, 0.0]","[0.11, 0.05, -0.068]","[0.09059, 0.18715008900000002, 0.010050000000000003]",0.005050000000000003,"[1.0, 0.005, 0.0001]",1,1,"[0.02, 1.0]","[0.9, 0.95, 0.001, 0.5, 2.0]"
left,20,2,"[0.005, 0.0, 0.0]","[0.11, -0.05, -0.068]","[0.09059, 0.087150089, 0.010050000000000003]",0.005050000000000003,"[1.0, 0.005, 0.0001]",1,1,"[0.02, 1.0]","[0.9, 0.95, 0.001, 0.5, 2.0]"
left,21,2,"[0.005, 0.0, 0.0]","[-0.02, -0.06, -0.068]","[-0.03941, 0.077150089, 0.010050000000000003]",0.005050000000000003,"[1.0, 0.005, 0.0001]",1,1,"[0.02, 1.0]","[0.9, 0.95, 0.001, 0.5, 2.0]"
left,22,2,"[0.005, 0.0, 0.0]","[-0.02, 0.06, -0.068]","[-0.03941, 0.197150089, 0.010050000000000003]",0.005050000000000003,"[1.0, 0.005, 0.0001]",1,1,"[0.02, 1.0]","[0.9, 0.95, 0.001, 0.5, 2.0]"
left,23,2,"[0.005, 0.0, 0.0]","[0.07, -0.06, -0.068]","[0.05059, 0.077150089, 0.010050000000000003]",0.005050000000000003,"[1.0, 0.005, 0.0001]",1,1,"[0.02, 1.0]","[0.9, 0.95, 0.001, 0.5, 2.0]"
left,24,2,"[0.005, 0.0, 0.0]","[0.07, 0.06, -0.068]","[0.05059, 0.197150089, 0.010050000000000003]",0.005050000000000003,"[1.0, 0.005, 0.0001]",1,1,"[0.02, 1.0]","[0.9, 0.95, 0.001, 0.5, 2.0]"
left,25,2,"[0.005, 0.0, 0.0]","[0.139, 0.0, -0.066]","[0.11959, 0.137150089, 0.012050000000000005]",0.007050000000000005,"[1.0, 0.005, 0.0001]",1,1,"[0.02, 1.0]","[0.9, 0.95, 0.001, 0.5, 2.0]"
left,26,2,"[0.005, 0.0, 0.0]","[0.128, 0.0, -0.02]","[0.10858999999999999, 0.137150089, 0.058050000000000004]",0.05305000000000001,"[1.0, 0.005, 0.0001]",1,1,"[0.02, 1.0]","[0.9, 0.95, 0.001, 0.5, 2.0]"
right,38,2,"[0.005, 0.0, 0.0]","[-0.05, 0.05, -0.068]","[-0.06941, -0.087150089, 0.010050000000000003]",0.005050000000000003,"[1.0, 0.005, 0.0001]",1,1,"[0.02, 1.0]","[0.9, 0.95, 0.001, 0.5, 2.0]"
right,39,2,"[0.005, 0.0, 0.0]","[-0.065, 0.025, -0.068]","[-0.08441000000000001, -0.11215008900000001, 0.010050000000000003]",0.005050000000000003,"[1.0, 0.005, 0.0001]",1,1,"[0.02, 1.0]","[0.9, 0.95, 0.001, 0.5, 2.0]"
right,40,2,"[0.005, 0.0, 0.0]","[-0.05, -0.05, -0.068]","[-0.06941, -0.18715008900000002, 0.010050000000000003]",0.005050000000000003,"[1.0, 0.005, 0.0001]",1,1,"[0.02, 1.0]","[0.9, 0.95, 0.001, 0.5, 2.0]"
right,41,2,"[0.005, 0.0, 0.0]","[-0.065, -0.025, -0.068]","[-0.08441000000000001, -0.162150089, 0.010050000000000003]",0.005050000000000003,"[1.0, 0.005, 0.0001]",1,1,"[0.02, 1.0]","[0.9, 0.95, 0.001, 0.5, 2.0]"
right,42,2,"[0.005, 0.0, 0.0]","[0.11, 0.05, -0.068]","[0.09059, -0.087150089, 0.010050000000000003]",0.005050000000000003,"[1.0, 0.005, 0.0001]",1,1,"[0.02, 1.0]","[0.9, 0.95, 0.001, 0.5, 2.0]"
right,43,2,"[0.005, 0.0, 0.0]","[0.11, -0.05, -0.068]","[0.09059, -0.18715008900000002, 0.010050000000000003]",0.005050000000000003,"[1.0, 0.005, 0.0001]",1,1,"[0.02, 1.0]","[0.9, 0.95, 0.001, 0.5, 2.0]"
